year,unitid,inst_name,state_name,inst_control,institution_level,hbcu,urban_centric_locale,rev_tuition_fees_gross,rev_total_current,exp_instruc_total,exp_total_current
2012,476601,Bais HaMedrash and Mesivta of Baltimore,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",1838800,1591492,919155,1578664
2011,161873,University of Baltimore,Maryland,Public,Four or more years,No,"City, large",65335928,148930816,38685696,95601840
2011,161882,Baltimore International College,Maryland,Private not-for-profit,Four or more years,No,"City, large",,,,
2011,162007,Bowie State University,Maryland,Public,Four or more years,Yes,"Suburb, large",32845996,101926784,28519320,81023592
2011,162061,Capitol College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",10909813,12960629,3193726,13223332
2011,162210,Washington Adventist University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",24685544,35160068,11037744,29717560
2011,162283,Coppin State University,Maryland,Public,Four or more years,Yes,"City, large",13637933,84659344,27623412,84093864
2011,162584,Frostburg State University,Maryland,Public,Four or more years,No,"Suburb, small",32877216,100684888,34543630,95207480
2011,162654,Goucher College,Maryland,Private not-for-profit,Four or more years,No,"City, small",53740000,63045000,29170530,66240000
2011,162681,Kaplan University-Hagerstown Campus,Maryland,Private for-profit,Four or more years,No,"Suburb, midsize",15791490,15590745,3453936,9549798
2011,162760,Hood College,Maryland,Private not-for-profit,Four or more years,No,"City, small",47931856,40428940,15015382,40020268
2011,162928,Johns Hopkins University,Maryland,Private not-for-profit,Four or more years,No,"City, large",706209024,4520029184,1519572000,4445645824
2011,163046,Loyola University Maryland,Maryland,Private not-for-profit,Four or more years,No,"City, large",182271184,176026368,58419736,175208624
2011,163204,University of Maryland-University College,Maryland,Public,Four or more years,No,"Suburb, large",324646112,397004416,96999784,339102560
2011,163259,University of Maryland-Baltimore,Maryland,Public,Four or more years,No,"City, large",114748080,979396928,203457980,962711872
2011,163268,University of Maryland-Baltimore County,Maryland,Public,Four or more years,No,"Suburb, large",104199032,376964864,106820690,326888384
